Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Bulbasaur,Grass,1,45,49,49,45,118,Accelgor,Bug,4,80,70,40,145,310.5,1,1,1,617
Ivysaur,Grass,1,60,62,63,60,155,Ariados,Bug,4,70,90,70,40,254.5,1,2,2,168
Venusaur,Grass,1,80,82,83,80,255,Beautifly,Bug,4,60,70,50,65,224.5,0,3,3,267
Mega Venusaur,Grass,1,80,100,123,80,293,Beedrill,Bug,4,65,90,40,75,245,0,4,3,15
Charmander,Fire,2,39,52,43,65,189,Blipbug,Bug,4,25,20,20,45,6,0,5,4,824
Charmeleon,Fire,2,58,64,58,80,245.5,Burmy,Bug,4,40,29,45,36,22,0,6,5,412
Charizard,Fire,2,78,84,78,100,328.75,Butterfree,Bug,4,60,45,50,70,57,0,7,6,12
Mega Charizard X,Fire,2,78,130,111,100,349.5,Buzzwole,Bug,4,107,139,139,79,204,0,8,6,794
Mega Charizard Y,Fire,2,78,104,78,100,351.25,Cascoon,Bug,4,50,35,55,15,-53,0,9,6,268
Squirtle,Water,3,44,48,65,43,170,Caterpie,Bug,4,45,30,35,45,107,0,10,7,10
Wartortle,Water,3,59,63,80,58,178,Charjabug,Bug,4,57,82,95,36,207,1,11,8,737
Blastoise,Water,3,79,83,100,78,310,Combee,Bug,4,30,30,42,70,89,0,12,9,415
Mega Blastoise,Water,3,79,103,120,78,275,Crustle,Bug,4,70,105,125,45,139,0,13,9,558
Caterpie,Bug,4,45,30,35,45,110,Cutiefly,Bug,4,40,45,40,84,194,1,14,10,742
Metapod,Bug,4,50,20,55,30,120,Dottler,Bug,4,50,35,80,30,155,1,15,11,825
Butterfree,Bug,4,60,45,50,70,170.5,Durant,Bug,4,58,109,112,109,365.5,1,16,12,632
Weedle,Bug,4,40,35,30,50,130,Dustox,Bug,4,60,50,70,65,227.5,1,17,13,269
Kakuna,Bug,4,45,25,50,35,122.5,Dwebble,Bug,4,50,65,85,55,230,1,18,14,557
Beedrill,Bug,4,65,90,40,75,202.5,Escavalier,Bug,4,70,135,105,20,285,1,19,15,589
Mega Beedrill,Bug,4,65,150,40,145,355,Forretress,Bug,4,75,90,140,40,270,0,20,15,205
Pidgey,Normal,5,40,45,40,56,142.5,Galvantula,Bug,4,70,77,60,108,270,1,21,16,596
Pidgeotto,Normal,5,63,60,55,71,189,Genesect,Bug,4,71,120,95,99,355,1,22,17,649
Pidgeot,Normal,5,83,80,75,101,276.5,Golisopod,Bug,4,75,125,140,40,300,1,23,18,768
